Napoli,10,7,1,2,22
Inter,10,7,0,3,21
Milan,10,6,3,1,21
Roma,10,7,0,3,21
Bologna,10,5,3,2,18
Juventus,10,5,3,2,18
Como,10,4,5,1,17
Lazio,10,4,3,3,15
Udinese,10,4,3,3,15
Cremonese,10,3,5,2,14
Atalanta,10,2,7,1,13
Sassuolo,10,4,1,5,13
Torino,10,3,4,3,13
Cagliari,10,2,3,5,9
Lecce,10,2,3,5,9
Parma,10,1,4,5,7
Pisa,10,0,6,4,6
Genoa,10,1,3,6,6
Verona,10,0,5,5,5
Fiorentina,10,0,4,6,4
